Initialising fast UCB table... done
Time in this step 1.04363
Time in this step 1.08724
Time in this step 1.14014
Time in this step 1.07146
Time in this step 1.125
Time in this step 1.09597
Time in this step 1.0298
Time in this step 1.06657
Time in this step 1.11399
Time in this step 1.14543
Time in this step 1.14376
Time in this step 1.01338
Time in this step 1.0646
Time in this step 1.07334
Time in this step 1.10137
Time in this step 1.03406
Time in this step 1.04989
Time in this step 1.0484
Time in this step 1.03067
Time in this step 1.15084
Time in this step 1.03848
Time in this step 1.01544
Time in this step 1.04244
Time in this step 0.980666
Time in this step 0.963616
Time in this step 0.967127
Time in this step 1.03808
Time in this step 1.06699
Time in this step 1.00153
Time in this step 1.12376
Time in this step 1.09291
Time in this step 1.07687
Time in this step 1.04246
Time in this step 1.03346
Time in this step 1.02407
Time in this step 1.19171
Time in this step 1.0263
Time in this step 0.955174
Time in this step 0.958831
Time in this step 0.99843
Time in this step 1.02487
Time in this step 1.0689
Time in this step 0.999198
Time in this step 1.01153
Time in this step 0.931454
Time in this step 0.952128
Time in this step 0.988384
Time in this step 0.920596
Time in this step 0.930328
Time in this step 0.930811
Time in this step 0.933197
Time in this step 0.915222
Time in this step 0.927199
Time in this step 0.914831
Time in this step 1.09033
Time in this step 0.92236
Time in this step 0.996285
Time in this step 0.951002
Time in this step 1.02269
Time in this step 1.04827
Time in this step 1.34474
Time in this step 1.0654
Time in this step 1.0476
Time in this step 1.1441
Time in this step 1.11779
Time in this step 1.01622
Time in this step 0.988132
Time in this step 1.08516
Time in this step 0.963558
Time in this step 0.908974
Time in this step 0.902682
Time in this step 1.05751
Time in this step 0.925297
Time in this step 0.886687
Time in this step 0.938587
Time in this step 0.909666
Time in this step 0.907871
Time in this step 0.906881
Time in this step 0.882677
Time in this step 0.859118
Time in this step 0.858034
Time in this step 0.864777
Time in this step 0.855111
Time in this step 0.952268
Time in this step 0.905933
Time in this step 0.911005
Time in this step 0.893021
Time in this step 0.984578
Time in this step 0.86667
Time in this step 0.840769
Time in this step 0.874443
Time in this step 0.876991
Time in this step 0.819288
Time in this step 0.827836
Time in this step 0.832731
Time in this step 0.832468
Time in this step 0.825049
Time in this step 0.820174
Time in this step 0.852481
